frame,t,dt_us,accept,u0,v0,c0,u1,v1,c1
273,35.1383,6324.0,1,,,,,,
274,35.2626,6324.0,1,,,,,,
275,35.3861,3662.0,1,,,,,,
276,35.5099,3661.0,1,,,,,,
277,35.6367,3673.0,1,,,,,,
278,35.7582,6326.0,1,,,,,,
279,35.8802,6327.0,1,,,,,,
280,36.0044,6325.0,1,,,,,,
281,36.1261,3656.0,1,,,,,,
282,36.2523,6328.0,1,,,,,,
283,36.3757,3654.0,1,,,,,,
284,36.5014,6333.0,1,,,,,,
285,36.6262,3652.0,1,,,,,,
286,36.7485,6330.0,1,,,,,,
287,36.8730,3652.0,1,,,,,,
288,36.9971,3650.0,1,,,,,,
289,37.1262,3650.0,1,,,,,,
290,37.2511,6335.0,1,,,,,,
291,37.3731,3649.0,1,,,,,,
292,37.4993,6337.0,1,,,,,,
293,37.6255,3649.0,1,,,,,,
294,37.7498,6335.0,1,,,,,,
295,37.8738,3646.0,1,,,,,,
296,37.9931,6340.0,1,,,,,,
297,38.1159,6343.0,1,,,,,,
298,38.2416,6335.0,1,,,,,,
299,38.3674,6341.0,1,,,,,,
300,38.4916,3649.0,1,,,,,,
301,38.6184,6346.0,1,,,,,,
302,38.7433,3641.0,1,,,,,,
303,38.8666,6345.0,1,,,,,,
304,38.9895,3639.0,1,,,,,,
305,39.1140,6346.0,1,,,,,,
306,39.2398,6343.0,1,,,,,,
307,39.3637,6348.0,1,,,,,,
308,39.4890,6345.0,1,,,,,,
309,39.6132,3636.0,1,,,,,,
310,39.7434,6348.0,1,,,,,,
311,39.8805,3642.0,1,,,,,,
312,40.0095,6349.0,1,,,,,,
313,40.1342,6352.0,1,,,,,,
314,40.2518,6348.0,1,,,,,,
315,40.3724,6352.0,1,,,,,,
316,40.4966,6352.0,1,,,,,,
317,40.6238,6358.0,1,,,,,,
318,40.7483,3632.0,1,,,,,,
319,40.8738,6358.0,1,,,,,,
320,40.9974,3626.0,1,,,,,,
321,41.1294,6359.0,1,,,,,,
322,41.2539,3633.0,1,,,,,,
323,41.3767,3625.0,1,,,,,,
324,41.5013,6364.0,1,,,,,,
325,41.6263,6360.0,1,,,,,,
326,41.7514,6363.0,1,,,,,,
327,41.8741,3632.0,1,,,,,,
328,41.9992,6368.0,1,,,,,,
329,42.1250,6360.0,1,,,,,,
330,42.2488,3620.0,1,,,,,,
331,42.3728,6365.0,1,,,,,,
332,42.4942,3619.0,1,,,,,,
333,42.6206,6371.0,1,,,,,,
334,42.7454,3617.0,1,,,,,,
335,42.8686,6369.0,1,,,,,,
336,42.9949,3618.0,1,,,,,,
337,43.1188,6370.0,1,,,,,,
338,43.2471,6369.0,1,,,,,,
339,43.3715,3619.0,1,,,,,,
340,43.4965,6375.0,1,,,,,,
341,43.6204,6371.0,1,,,,,,
342,43.7445,3611.0,1,,,,,,
343,43.8742,6381.0,1,,,,,,
344,43.9997,6376.0,1,,,,,,
345,44.1245,3609.0,1,,,,,,
346,44.2483,6376.0,1,,,,,,
347,44.3723,3608.0,1,,,,,,
348,44.4972,6378.0,1,,,,,,
349,44.6250,3605.0,1,,,,,,
350,44.7448,6377.0,1,,,,,,
351,44.8678,3608.0,1,,,,,,
352,45.0078,3604.0,1,,,,,,
353,45.1320,6392.0,1,,,,,,
354,45.2607,6385.0,1,,,,,,
355,45.3870,6386.0,1,,,,,,
356,45.5127,6388.0,1,,,,,,
357,45.6386,3600.0,1,,,,,,
358,45.7633,6386.0,1,,,,,,
359,45.8874,3603.0,1,,,,,,
360,46.0120,6390.0,1,,,,,,
361,46.1389,6387.0,1,,,,,,
362,46.2647,6388.0,1,,,,,,
363,46.3869,3595.0,1,,,,,,
364,46.5115,6392.0,1,,,,,,
365,46.6408,3604.0,1,,,,,,
366,46.7642,6389.0,1,,,,,,
367,46.8862,3592.0,1,,,,,,
368,47.0049,6395.0,1,,,,,,
369,47.1278,3590.0,1,,,,,,
370,47.2520,6395.0,1,,,,,,
371,47.3745,3594.0,1,,,,,,
372,47.5008,6401.0,1,,,,,,
373,47.6279,3592.0,1,,,,,,
